order_id,order_date,region,category,unit_price,quantity,discount,revenue,customer_satisfaction
1001,2025-07-13,East,Groceries,49.9,5,0.15,212.08,3.9
1002,2025-04-06,South,Clothing,88.72,7,0.0,621.04,3.1
1003,2025-03-25,West,Clothing,80.56,5,0.05,382.68,3.9
1004,2025-04-28,East,Groceries,128.29,6,0.0,769.76,4.1
1005,2025-08-07,North,Electronics,38.67,11,0.15,361.54,
1006,2025-03-30,West,Groceries,64.59,12,0.1,697.52,4.1
1007,2025-11-30,East,Groceries,115.51,1,0.05,109.74,4.8
1008,2025-06-25,East,Clothing,24.17,6,0.0,145.03,3.1
1009,2025-11-12,North,Clothing,137.59,12,0.0,1651.1,4.1
1010,2025-09-07,South,Clothing,129.46,8,0.1,932.08,5.0
1011,2025-05-02,South,Furniture,107.66,3,0.0,322.97,2.6
1012,2025-03-25,West,Groceries,127.34,9,0.0,1146.05,4.1
1013,2025-09-29,East,Electronics,61.24,3,0.15,156.15,3.5
1014,2025-05-01,West,Furniture,206.2,1,0.1,185.58,3.7
1015,2025-04-01,South,Clothing,189.42,9,0.0,1704.76,3.3
1016,2025-12-06,North,Groceries,109.14,8,0.0,873.1,3.9
1017,2025-06-26,East,Furniture,94.0,11,0.2,827.19,5.0
1018,2025-01-18,North,Furniture,144.78,5,0.1,651.5,3.0
1019,2025-06-30,West,Electronics,50.43,12,0.1,544.63,
1020,2025-06-18,East,Electronics,129.6,6,0.0,777.63,3.0
1021,2025-11-12,East,Electronics,108.28,11,0.0,1191.09,5.0
1022,2025-09-17,South,Electronics,66.42,2,0.0,132.83,3.6
1023,2025-03-11,West,Groceries,110.94,2,0.1,199.69,4.0
1024,2025-02-24,West,Groceries,202.34,11,0.0,2225.78,3.7
1025,2025-08-09,East,Groceries,21.18,12,0.0,254.14,3.2
1026,2025-01-18,North,Electronics,39.38,14,0.1,496.17,3.8
1027,2025-04-27,South,Electronics,71.52,5,0.2,286.09,5.0
1028,2025-02-20,North,Furniture,128.51,1,0.1,115.66,5.0
1029,2025-01-08,North,Clothing,106.64,14,0.05,1418.29,3.3
1030,2025-12-02,East,Furniture,128.24,9,0.05,1096.46,4.5
1031,2025-02-02,East,Furniture,66.93,4,0.05,254.34,3.3
